date,Estimated Percent of People of All Ages in Poverty,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1989-01-01,7.3,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1993-01-01,8.6,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1995-01-01,7.8,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1997-01-01,8.5,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1998-01-01,8.0,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
1999-01-01,6.8,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
2000-01-01,6.1,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
2001-01-01,6.5,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
2002-01-01,7.2,VA,Charlottesville,Albemarle County,VA,"Estimated Percent of People of All Ages in Poverty for Albemarle County, VA",PPAAVA51003A156NCEN,Annual,Not Seasonally Adjusted
