date,Number of Private Establishments for All Industries,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1990-01-01,1418,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1990-04-01,1424,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1990-07-01,1453,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1990-10-01,1473,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1991-01-01,1487,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1991-04-01,1515,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1991-07-01,1513,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1991-10-01,1529,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1992-01-01,1514,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1992-04-01,1514,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1992-07-01,1505,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1992-10-01,1529,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1993-01-01,1543,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1993-04-01,1578,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1993-07-01,1575,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1993-10-01,1597,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1994-01-01,1635,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1994-04-01,1656,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1994-07-01,1678,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1994-10-01,1704,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1995-01-01,1713,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1995-04-01,1733,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1995-07-01,1720,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1995-10-01,1751,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1996-01-01,1781,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1996-04-01,1781,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1996-07-01,1769,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1996-10-01,1792,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1997-01-01,1782,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1997-04-01,1813,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1997-07-01,1813,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1997-10-01,1831,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1998-01-01,1847,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1998-04-01,1866,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1998-07-01,1900,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1998-10-01,1863,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1999-01-01,1929,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1999-04-01,1933,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1999-07-01,1958,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
1999-10-01,1980,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2000-01-01,1999,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2000-04-01,1994,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2000-07-01,2003,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2000-10-01,2049,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2001-01-01,2068,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2001-04-01,2121,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2001-07-01,2145,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2001-10-01,2152,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2002-01-01,2171,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
2002-04-01,2203,VA,Charlottesville,Albemarle County,VA,"Number of Private Establishments for All Industries in Albemarle County, VA",ENU5100320510,Quarterly,Not Seasonally Adjusted
