date,Premature Death Rate,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1999-01-01,265.5,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2000-01-01,340.2,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2001-01-01,272.1,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2002-01-01,260.4,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2003-01-01,261.4,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2004-01-01,279.1,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2005-01-01,277.7,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2006-01-01,278.6,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2007-01-01,285.6,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2008-01-01,267.5,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2009-01-01,273.7,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2010-01-01,251.8,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2011-01-01,234.1,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2012-01-01,244.6,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2013-01-01,273.7,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2014-01-01,233.9,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2015-01-01,272.5,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2016-01-01,253.8,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2017-01-01,293.6,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2018-01-01,304.2,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
2019-01-01,285.5,VA,Charlottesville,Albemarle County,VA,"Premature Death Rate for Albemarle County, VA",CDC20N2U051003,Annual,Not Seasonally Adjusted
1999-01-01,450.6,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2000-01-01,376.7,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2001-01-01,405.8,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2002-01-01,431.6,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2003-01-01,373.2,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2004-01-01,483.7,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2005-01-01,365.6,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2006-01-01,450.5,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2007-01-01,418.8,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
2008-01-01,475.4,ID,Lewiston,Asotin County,WA,"Premature Death Rate for Asotin County, WA",CDC20N2U053003,Annual,Not Seasonally Adjusted
