date,SNAP Benefits Recipients,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1989-01-01,1634,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1993-01-01,2758,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1995-01-01,2501,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1997-01-01,2032,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1998-01-01,1813,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1999-01-01,1677,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2000-01-01,1595,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2001-01-01,1696,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2002-01-01,1899,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2003-01-01,2205,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2004-01-01,2628,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2005-01-01,2891,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2006-01-01,3016,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2007-01-01,3294,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2008-01-01,3981,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2009-01-01,5215,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2010-01-01,5952,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2011-01-01,6762,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2012-01-01,6800,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2013-01-01,6680,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2014-01-01,6320,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2015-01-01,5758,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2016-01-01,5212,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2017-01-01,4761,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2018-01-01,4458,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
2019-01-01,4423,VA,Charlottesville,Albemarle County,VA,"SNAP Benefits Recipients in Albemarle County, VA",CBR51003VAA647NCEN,Annual,Not Seasonally Adjusted
1989-01-01,2947,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1990-01-01,.,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1991-01-01,.,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1992-01-01,.,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1993-01-01,3087,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1994-01-01,.,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1995-01-01,3022,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1996-01-01,.,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
1997-01-01,2513,ID,Lewiston,Asotin County,WA,"SNAP Benefits Recipients in Asotin County, WA",CBR53003WAA647NCEN,Annual,Not Seasonally Adjusted
