date,Combined Violent and Property Crime Offenses,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
2004-01-01,1877.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2005-01-01,2180.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2006-01-01,2342.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2007-01-01,2186.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2008-01-01,2057.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2009-01-01,2131.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2010-01-01,1929.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2011-01-01,1759.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2012-01-01,1568.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2013-01-01,1803.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2014-01-01,1684.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2015-01-01,1451.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
2016-01-01,1359.0,VA,Charlottesville,Albemarle County,VA,"Combined Violent and Property Crime Offenses Known to Law Enforcement in Albemarle County, VA",FBITC051003,Annual,Not Seasonally Adjusted
