date,Equifax Subprime Credit Population,msa_state,city,county,state,title,id,frequency,seasonal_adjustment
1999-01-01,26.62292817679558,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
1999-04-01,26.077957916522937,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
1999-07-01,25.737817433081673,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
1999-10-01,24.594594594594597,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2000-01-01,25.10909701242027,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2000-04-01,24.491157824491157,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2000-07-01,23.442732752846617,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2000-10-01,24.16938110749186,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2001-01-01,24.465709728867623,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2001-04-01,24.19917538851887,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2001-07-01,23.71392722710163,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2001-10-01,23.83612662942272,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2002-01-01,24.289245982694684,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2002-04-01,23.10513447432763,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2002-07-01,23.08868501529052,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2002-10-01,23.456416464891042,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2003-01-01,22.740963855421686,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2003-04-01,22.148660848630755,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2003-07-01,21.859221859221858,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2003-10-01,21.894182987430575,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2004-01-01,22.157092614302464,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2004-04-01,22.037845705967975,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2004-07-01,21.899506244554168,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2004-10-01,21.819762387713705,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2005-01-01,21.586029201259663,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2005-04-01,21.442771939789832,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2005-07-01,21.420486700622522,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2005-10-01,21.03632779498733,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2006-01-01,20.089786756453424,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2006-04-01,20.349805663520268,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2006-07-01,20.234768026830633,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2006-10-01,20.425889604931353,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2007-01-01,20.38644637356483,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2007-04-01,20.42075736325386,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2007-07-01,19.927637072084607,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2007-10-01,20.274432931951832,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2008-01-01,20.099805932908236,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2008-04-01,20.378092855157075,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2008-07-01,20.707915273132667,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2008-10-01,20.839121978327313,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2009-01-01,20.417246175243395,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2009-04-01,19.988879621907145,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2009-07-01,20.133853876185164,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2009-10-01,19.788771539744303,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2010-01-01,19.906129210381003,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2010-04-01,19.514884233737597,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2010-07-01,19.393939393939394,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2010-10-01,19.18333790079474,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2011-01-01,19.683751363140676,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2011-04-01,19.555193924599944,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2011-07-01,19.154700623137362,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2011-10-01,19.30345572354212,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2012-01-01,19.396903015484924,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2012-04-01,19.16689354750885,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2012-07-01,19.68185494742518,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2012-10-01,19.448946515397083,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2013-01-01,19.032258064516128,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2013-04-01,19.04252473923509,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2013-07-01,19.652579725175006,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
2013-10-01,19.98972250770812,VA,Charlottesville,Albemarle County,VA,"Equifax Subprime Credit Population for Albemarle County, VA",EQFXSUBPRIME051003,Quarterly,Not Seasonally Adjusted
