id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,group_popularity,city,state,notes
CUURA101SA0,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: All Items in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1914-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:10-06,31,33,New York,NY,
CUURA101SA0E,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Energy in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1977-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:37-06,1,1,New York,NY,
CUURA101SA0L1E,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1982-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:37-06,2,2,New York,NY,
CUURA101SA0L2,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: All Items Less Shelter in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1975-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:27-06,6,6,New York,NY,
CUURA101SA0L5,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: All Items Less Medical Care in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:37-06,1,1,New York,NY,
CUURA101SA0LE,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: All Items Less Energy in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1977-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:39:27-06,4,4,New York,NY,
CUURA101SAA,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Apparel in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1952-12-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:37-06,1,1,New York,NY,
CUURA101SAC,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Commodities in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:37-06,1,1,New York,NY,
CUURA101SACL1,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Commodities Less Food in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1967-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
CUURA101SACL11,2021-12-30,2021-12-30,"Consumer Price Index for All Urban Consumers: Commodities Less Food and Beverages in New York-Newark-Jersey City, NY-NJ-PA (CBSA)",1976-01-01,2021-11-01,Monthly,M,Index 1982-1984=100,Index 1982-1984=100,Not Seasonally Adjusted,NSA,2021-12-10 07:41:36-06,1,1,New York,NY,
