date,Average Weekly Wages for Employees in Total Covered Establishments,msa_state,city,title,id,frequency,seasonal_adjustment
1990-01-01,373.38850834781,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1990-04-01,372.78143998122704,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1990-07-01,371.698245799932,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1990-10-01,372.784295713058,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1991-01-01,383.960312023819,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1991-04-01,388.13721718436994,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1991-07-01,390.402712207174,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1991-10-01,391.95196613219497,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1992-01-01,397.702589340347,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1992-04-01,402.539356976098,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1992-07-01,406.065814587499,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1992-10-01,424.460492356686,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1993-01-01,408.33442661996804,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1993-04-01,422.180781902988,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1993-07-01,426.086797335884,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1993-10-01,426.596931325227,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1994-01-01,416.612861388861,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1994-04-01,425.851381533245,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1994-07-01,436.741446518263,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1994-10-01,426.846340869335,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1995-01-01,431.357304012546,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1995-04-01,433.389712029689,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1995-07-01,433.82246675526494,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1995-10-01,433.496003615115,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1996-01-01,448.223013453628,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1996-04-01,442.70957275341004,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1996-07-01,442.58955793049796,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1996-10-01,449.160234135647,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1997-01-01,456.21845337123904,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1997-04-01,456.15942182456496,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1997-07-01,464.04323895242896,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1997-10-01,475.94441610429703,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1998-01-01,466.878650030918,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1998-04-01,481.94659184422096,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1998-07-01,483.89338106286203,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1998-10-01,506.33906718775904,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1999-01-01,489.521324966658,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1999-04-01,505.825544045841,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1999-07-01,509.431040804546,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
1999-10-01,530.480413744686,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2000-01-01,525.07858148711,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2000-04-01,525.538078060474,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2000-07-01,541.0112787474279,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2000-10-01,533.56551857111,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2001-01-01,550.359753791618,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2001-04-01,556.081191735313,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2001-07-01,556.976627783871,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2001-10-01,560.874891281485,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2002-01-01,571.2326379788781,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2002-04-01,574.346164822165,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2002-07-01,581.81875197592,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2002-10-01,580.263221632648,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2003-01-01,594.9884452860231,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2003-04-01,600.388548840018,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2003-07-01,598.322443229844,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2003-10-01,604.535124614794,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2004-01-01,608.160307793506,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2004-04-01,609.391356852633,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2004-07-01,625.574507583669,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2004-10-01,634.889915238521,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2005-01-01,622.706639001677,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2005-04-01,644.347721271683,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2005-07-01,672.257064332891,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
2005-10-01,666.811308052211,SC,Charleston,"Average Weekly Wages for Employees in Total Covered Establishments in Charleston-North Charleston-Summerville, SC (MSA)",ENUC167040010SA,Quarterly,Seasonally Adjusted
