date,All-Transactions House Price Index,msa_state,city,title,id,frequency,seasonal_adjustment
1978-07-01,47.77,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1978-10-01,50.48,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1979-01-01,51.4,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1979-04-01,48.87,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1979-07-01,48.04,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1979-10-01,54.85,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1980-01-01,48.56,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1980-04-01,55.72,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1980-07-01,57.37,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1980-10-01,57.15,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1981-01-01,68.07,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1981-04-01,54.94,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1981-07-01,65.35,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1981-10-01,68.83,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1982-01-01,66.36,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1982-04-01,76.21,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1982-07-01,77.54,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1982-10-01,91.02,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1983-01-01,83.98,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1983-04-01,65.64,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1983-07-01,71.67,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1983-10-01,65.18,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1984-01-01,81.96,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1984-04-01,66.74,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1984-07-01,70.64,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1984-10-01,68.12,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
1985-01-01,74.24,SC,Charleston,"All-Transactions House Price Index for Charleston-North Charleston, SC (MSA)",ATNHPIUS16700Q,Quarterly,Not Seasonally Adjusted
