date,Regional Price Parities,msa_state,city,title,id,frequency,seasonal_adjustment
2008-01-01,97.641,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2009-01-01,97.731,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2010-01-01,98.728,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2011-01-01,99.636,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2012-01-01,99.698,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2013-01-01,99.736,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2014-01-01,100.042,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2015-01-01,99.720,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2016-01-01,100.590,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2017-01-01,99.727,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2018-01-01,98.463,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2019-01-01,97.876,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2020-01-01,97.653,SC,Charleston,"Regional Price Parities: All Items for Charleston-North Charleston, SC (MSA)",RPPALL16700,Annual,Not Seasonally Adjusted
2008-01-01,100.652,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2009-01-01,99.089,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2010-01-01,101.305,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2011-01-01,101.866,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2012-01-01,99.237,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2013-01-01,101.509,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2014-01-01,99.798,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2015-01-01,100.392,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2016-01-01,100.258,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2017-01-01,100.161,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2018-01-01,99.418,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2019-01-01,96.573,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2020-01-01,96.627,VA,Charlottesville,"Regional Price Parities: All Items for Charlottesville, VA (MSA)",RPPALL16820,Annual,Not Seasonally Adjusted
2008-01-01,105.353,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2009-01-01,106.811,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2010-01-01,106.127,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2011-01-01,107.014,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2012-01-01,105.551,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2013-01-01,104.769,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2014-01-01,103.499,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2015-01-01,102.809,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2016-01-01,104.201,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2017-01-01,105.569,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2018-01-01,104.687,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2019-01-01,103.276,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2020-01-01,104.846,IL,Chicago,"Regional Price Parities: All Items for Chicago-Naperville-Elgin, IL-IN-WI (MSA)",RPPALL16980,Annual,Not Seasonally Adjusted
2008-01-01,97.104,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2009-01-01,96.726,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2010-01-01,94.948,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2011-01-01,93.348,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2012-01-01,92.637,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
2013-01-01,92.949,OH,Cincinnati,"Regional Price Parities: All Items for Cincinnati, OH-KY-IN (MSA)",RPPALL17140,Annual,Not Seasonally Adjusted
