code,county,MSA Code,msa,MSA Type,CSA Code,CSA Title
1001,"Autauga County, Alabama",C3386,"Montgomery, AL",Metro,,
1003,"Baldwin County, Alabama",C1930,"Daphne-Fairhope-Foley, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
1005,"Barbour County, Alabama",,,,,
1007,"Bibb County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1009,"Blount County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1011,"Bullock County, Alabama",,,,,
1013,"Butler County, Alabama",,,,,
1015,"Calhoun County, Alabama",C1150,"Anniston-Oxford-Jacksonville, AL",Metro,,
1017,"Chambers County, Alabama",C4674,"Valley, AL",Micro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1019,"Cherokee County, Alabama",,,,,
1021,"Chilton County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1023,"Choctaw County, Alabama",,,,,
1025,"Clarke County, Alabama",,,,,
1027,"Clay County, Alabama",,,,,
1029,"Cleburne County, Alabama",,,,,
1031,"Coffee County, Alabama",C2146,"Enterprise, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
1033,"Colbert County, Alabama",C2252,"Florence-Muscle Shoals, AL",Metro,,
1035,"Conecuh County, Alabama",,,,,
1037,"Coosa County, Alabama",C4518,"Talladega-Sylacauga, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
1039,"Covington County, Alabama",,,,,
1041,"Crenshaw County, Alabama",,,,,
1043,"Cullman County, Alabama",C1898,"Cullman, AL",Micro,CS142,"Birmingham-Hoover-Talladega, AL"
1045,"Dale County, Alabama",C3712,"Ozark, AL",Micro,CS222,"Dothan-Enterprise-Ozark, AL"
1047,"Dallas County, Alabama",C4282,"Selma, AL",Micro,,
1049,"DeKalb County, Alabama",,,,,
1051,"Elmore County, Alabama",C3386,"Montgomery, AL",Metro,,
1053,"Escambia County, Alabama",,,,,
1055,"Etowah County, Alabama",C2346,"Gadsden, AL",Metro,,
1057,"Fayette County, Alabama",,,,,
1059,"Franklin County, Alabama",,,,,
1061,"Geneva County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1063,"Greene County, Alabama",,,,,
1065,"Hale County, Alabama",C4622,"Tuscaloosa, AL",Metro,,
1067,"Henry County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1069,"Houston County, Alabama",C2002,"Dothan, AL",Metro,CS222,"Dothan-Enterprise-Ozark, AL"
1071,"Jackson County, Alabama",C4246,"Scottsboro, AL",Micro,CS174,"Chattanooga-Cleveland-Dalton, TN-GA-AL"
1073,"Jefferson County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1075,"Lamar County, Alabama",,,,,
1077,"Lauderdale County, Alabama",C2252,"Florence-Muscle Shoals, AL",Metro,,
1079,"Lawrence County, Alabama",C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1081,"Lee County, Alabama",C1222,"Auburn-Opelika, AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1083,"Limestone County, Alabama",C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1085,"Lowndes County, Alabama",C3386,"Montgomery, AL",Metro,,
1087,"Macon County, Alabama",,,,,
1089,"Madison County, Alabama",C2662,"Huntsville, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1091,"Marengo County, Alabama",,,,,
1093,"Marion County, Alabama",,,,,
1095,"Marshall County, Alabama",C1070,"Albertville, AL",Micro,CS290,"Huntsville-Decatur-Albertville, AL"
1097,"Mobile County, Alabama",C3366,"Mobile, AL",Metro,CS380,"Mobile-Daphne-Fairhope, AL"
1099,"Monroe County, Alabama",,,,,
1101,"Montgomery County, Alabama",C3386,"Montgomery, AL",Metro,,
1103,"Morgan County, Alabama",C1946,"Decatur, AL",Metro,CS290,"Huntsville-Decatur-Albertville, AL"
1105,"Perry County, Alabama",,,,,
1107,"Pickens County, Alabama",C4622,"Tuscaloosa, AL",Metro,,
1109,"Pike County, Alabama",C4598,"Troy, AL",Micro,,
1111,"Randolph County, Alabama",,,,,
1113,"Russell County, Alabama",C1798,"Columbus, GA-AL",Metro,CS194,"Columbus-Auburn-Opelika, GA-AL"
1115,"St. Clair County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
1117,"Shelby County, Alabama",C1382,"Birmingham-Hoover, AL",Metro,CS142,"Birmingham-Hoover-Talladega, AL"
