quarter,date,msa_state,year,city,hpi,weekly_wages,rpp,population,gdp,unemployment_rate,crimes,subprime,poverty,patents,private_establishments,premature_death_rate,snap
1,2008-01-01,SC,2008,Charleston,376.35997866595557,733.576515025872,97.641,647.194,27277.613,4.8,6905.0,42.54686035217932,13.983937250991389,0.0,16277.0,395.3275212097657,69915.0
2,2008-04-01,SC,2008,Charleston,370.51475049168306,728.1792634374659,97.641,647.194,27277.613,5.1,6905.0,42.2034986550961,13.983937250991389,4.0,16760.0,395.3275212097657,69915.0
3,2008-07-01,SC,2008,Charleston,358.8662455415181,732.47971390645,97.641,647.194,27277.613,6.0,6905.0,42.13878182932662,13.983937250991389,4.0,16960.0,395.3275212097657,69915.0
4,2008-10-01,SC,2008,Charleston,355.4541984732825,731.6800843605059,97.641,647.194,27277.613,7.0,6905.0,42.17747161905525,13.983937250991389,2.0,16680.0,395.3275212097657,69915.0
1,2009-01-01,SC,2009,Charleston,358.6984399479983,732.4658190126511,97.731,659.191,26938.842,8.2,9985.0,41.94558108841979,15.469245299375377,0.0,15846.0,386.56399967149235,85926.0
2,2009-04-01,SC,2009,Charleston,348.71400713357116,735.877670760549,97.731,659.191,26938.842,9.2,9985.0,41.80866248545783,15.469245299375377,0.0,15908.0,386.56399967149235,85926.0
3,2009-07-01,SC,2009,Charleston,335.14972165738857,745.535901032025,97.731,659.191,26938.842,9.7,9985.0,41.93398678326738,15.469245299375377,3.0,15967.0,386.56399967149235,85926.0
4,2009-10-01,SC,2009,Charleston,326.47976599219976,767.574507829599,97.731,659.191,26938.842,10.1,9985.0,42.30941967766112,15.469245299375377,0.0,15487.0,386.56399967149235,85926.0
1,2010-01-01,SC,2010,Charleston,322.14478815960535,725.3045874014639,98.728,667.495,28376.859,9.8,9815.0,41.895219558953464,16.268288301785034,0.0,15558.0,396.9015195619443,95406.0
2,2010-04-01,SC,2010,Charleston,313.19515650521686,771.758019245391,98.728,667.495,28376.859,9.4,9815.0,41.68400279664618,16.268288301785034,1.0,15397.0,396.9015195619443,95406.0
3,2010-07-01,SC,2010,Charleston,320.4107970265676,766.293224118016,98.728,667.495,28376.859,9.3,9815.0,41.782585247567894,16.268288301785034,1.0,15222.0,396.9015195619443,95406.0
4,2010-10-01,SC,2010,Charleston,315.9499649988333,787.130657216347,98.728,667.495,28376.859,9.2,9815.0,41.996849509742546,16.268288301785034,0.0,15520.0,396.9015195619443,95406.0
1,2011-01-01,SC,2011,Charleston,304.04975165838863,761.302854041282,99.636,681.449,30197.945,8.8,9522.0,41.430709880123715,16.853669313477607,1.0,15376.0,377.07051620884323,99800.0
2,2011-04-01,SC,2011,Charleston,295.2819093969799,787.930574582111,99.636,681.449,30197.945,8.8,9522.0,41.15531186873943,16.853669313477607,1.0,15648.0,377.07051620884323,99800.0
3,2011-07-01,SC,2011,Charleston,299.95249841661393,802.237707019624,99.636,681.449,30197.945,8.9,9522.0,41.44251087691963,16.853669313477607,0.0,15371.0,377.07051620884323,99800.0
